model,pruned,predicate,data,scale,threads,time
house_16H_d10_l488_n975_20240921064722,2,12.25624,house_16H,1G,2,0.3604905568063259
house_16H_d10_l488_n975_20240921064722,1,13.083833,house_16H,1G,2,0.34557030820287765
house_16H_d10_l488_n975_20240921064722,2,13.083833,house_16H,1G,2,0.3380804802291095
nyc-taxi-green-dec-2016_d10_l501_n1001_20240921065121,0,0.0,nyc-taxi-green-dec-2016,1G,2,1.6341129408217967
nyc-taxi-green-dec-2016_d10_l501_n1001_20240921065121,1,0.444324,nyc-taxi-green-dec-2016,1G,2,1.4329482558183373
nyc-taxi-green-dec-2016_d10_l501_n1001_20240921065121,2,0.444324,nyc-taxi-green-dec-2016,1G,2,1.467864705203101
nyc-taxi-green-dec-2016_d10_l501_n1001_20240921065121,1,0.883227,nyc-taxi-green-dec-2016,1G,2,1.6178062207996846
nyc-taxi-green-dec-2016_d10_l501_n1001_20240921065121,2,0.883227,nyc-taxi-green-dec-2016,1G,2,1.5274238569661975
nyc-taxi-green-dec-2016_d10_l501_n1001_20240921065121,1,1.32213,nyc-taxi-green-dec-2016,1G,2,1.398628990771249
nyc-taxi-green-dec-2016_d10_l501_n1001_20240921065121,2,1.32213,nyc-taxi-green-dec-2016,1G,2,1.4057261827867478
nyc-taxi-green-dec-2016_d10_l501_n1001_20240921065121,1,1.761032,nyc-taxi-green-dec-2016,1G,2,1.295345410797745
nyc-taxi-green-dec-2016_d10_l501_n1001_20240921065121,2,1.761032,nyc-taxi-green-dec-2016,1G,2,1.2650170381646604
nyc-taxi-green-dec-2016_d10_l501_n1001_20240921065121,1,2.199935,nyc-taxi-green-dec-2016,1G,2,1.230551399802789
nyc-taxi-green-dec-2016_d10_l501_n1001_20240921065121,2,2.199935,nyc-taxi-green-dec-2016,1G,2,1.0890203060116619
nyc-taxi-green-dec-2016_d10_l501_n1001_20240921065121,1,2.638838,nyc-taxi-green-dec-2016,1G,2,0.987920038215816
nyc-taxi-green-dec-2016_d10_l501_n1001_20240921065121,2,2.638838,nyc-taxi-green-dec-2016,1G,2,0.8785831931978464
nyc-taxi-green-dec-2016_d10_l501_n1001_20240921065121,1,3.077741,nyc-taxi-green-dec-2016,1G,2,0.9828594360034912
nyc-taxi-green-dec-2016_d10_l501_n1001_20240921065121,2,3.077741,nyc-taxi-green-dec-2016,1G,2,0.8853611511643976
nyc-taxi-green-dec-2016_d10_l501_n1001_20240921065121,1,3.516644,nyc-taxi-green-dec-2016,1G,2,0.9872761880047619
nyc-taxi-green-dec-2016_d10_l501_n1001_20240921065121,2,3.516644,nyc-taxi-green-dec-2016,1G,2,0.8774136980064213
nyc-taxi-green-dec-2016_d10_l501_n1001_20240921065121,1,3.955546,nyc-taxi-green-dec-2016,1G,2,0.970679116807878
nyc-taxi-green-dec-2016_d10_l501_n1001_20240921065121,2,3.955546,nyc-taxi-green-dec-2016,1G,2,0.8495144748128951
nyc-taxi-green-dec-2016_d10_l501_n1001_20240921065121,1,4.394449,nyc-taxi-green-dec-2016,1G,2,0.9707521228119731
nyc-taxi-green-dec-2016_d10_l501_n1001_20240921065121,2,4.394449,nyc-taxi-green-dec-2016,1G,2,0.8548968487884849
house_16H_d10_l426_n851_20240921071627,0,0.0,house_16H,10G,2,4.127463803207502
house_16H_d10_l426_n851_20240921071627,1,6.145916,house_16H,10G,2,3.1387006022036075
house_16H_d10_l426_n851_20240921071627,2,6.145916,house_16H,10G,2,3.1203222854062913
house_16H_d10_l426_n851_20240921071627,1,6.911808,house_16H,10G,2,3.32011587000452
house_16H_d10_l426_n851_20240921071627,2,6.911808,house_16H,10G,2,3.1868743860162794
house_16H_d10_l426_n851_20240921071627,1,7.677699,house_16H,10G,2,3.134090991970152
house_16H_d10_l426_n851_20240921071627,2,7.677699,house_16H,10G,2,3.1786562100052835
house_16H_d10_l426_n851_20240921071627,1,8.443591,house_16H,10G,2,3.1486220439895987
house_16H_d10_l426_n851_20240921071627,2,8.443591,house_16H,10G,2,3.3482686764094978
house_16H_d10_l426_n851_20240921071627,1,9.209482,house_16H,10G,2,3.135229528369382
house_16H_d10_l426_n851_20240921071627,2,9.209482,house_16H,10G,2,3.139859490003437
house_16H_d10_l426_n851_20240921071627,1,9.975374,house_16H,10G,2,3.8215440307743846
house_16H_d10_l426_n851_20240921071627,2,9.975374,house_16H,10G,2,3.7713442896027116
house_16H_d10_l426_n851_20240921071627,1,10.741265,house_16H,10G,2,4.267023427411914
house_16H_d10_l426_n851_20240921071627,2,10.741265,house_16H,10G,2,3.7931413498241455
house_16H_d10_l426_n851_20240921071627,1,11.507157,house_16H,10G,2,3.9138443176168947
house_16H_d10_l426_n851_20240921071627,2,11.507157,house_16H,10G,2,4.097737162793055
house_16H_d10_l426_n851_20240921071627,1,12.273048,house_16H,10G,2,3.6367915451992303
house_16H_d10_l426_n851_20240921071627,2,12.273048,house_16H,10G,2,3.60452876156196
house_16H_d10_l426_n851_20240921071627,1,13.038939,house_16H,10G,2,3.360556519590318
house_16H_d10_l426_n851_20240921071627,2,13.038939,house_16H,10G,2,3.0571615379769357
nyc-taxi-green-dec-2016_d10_l422_n843_20240921072444,0,0.0,nyc-taxi-green-dec-2016,10G,2,15.848481535026803
nyc-taxi-green-dec-2016_d10_l422_n843_20240921072444,1,0.450935,nyc-taxi-green-dec-2016,10G,2,14.162331781815737
nyc-taxi-green-dec-2016_d10_l422_n843_20240921072444,2,0.450935,nyc-taxi-green-dec-2016,10G,2,15.091518911020831
nyc-taxi-green-dec-2016_d10_l422_n843_20240921072444,1,0.89988,nyc-taxi-green-dec-2016,10G,2,14.902208500774577
nyc-taxi-green-dec-2016_d10_l422_n843_20240921072444,2,0.89988,nyc-taxi-green-dec-2016,10G,2,14.206500607402996
nyc-taxi-green-dec-2016_d10_l422_n843_20240921072444,1,1.348825,nyc-taxi-green-dec-2016,10G,2,13.587521683983505
nyc-taxi-green-dec-2016_d10_l422_n843_20240921072444,2,1.348825,nyc-taxi-green-dec-2016,10G,2,13.203750288020819
nyc-taxi-green-dec-2016_d10_l422_n843_20240921072444,1,1.797771,nyc-taxi-green-dec-2016,10G,2,11.297977273818105
nyc-taxi-green-dec-2016_d10_l422_n843_20240921072444,2,1.797771,nyc-taxi-green-dec-2016,10G,2,9.613717633020133
nyc-taxi-green-dec-2016_d10_l422_n843_20240921072444,1,2.246716,nyc-taxi-green-dec-2016,10G,2,10.001740017579868
nyc-taxi-green-dec-2016_d10_l422_n843_20240921072444,2,2.246716,nyc-taxi-green-dec-2016,10G,2,9.74396382481791
nyc-taxi-green-dec-2016_d10_l422_n843_20240921072444,1,2.695661,nyc-taxi-green-dec-2016,10G,2,10.41289767199196
nyc-taxi-green-dec-2016_d10_l422_n843_20240921072444,2,2.695661,nyc-taxi-green-dec-2016,10G,2,9.469596087979152
nyc-taxi-green-dec-2016_d10_l422_n843_20240921072444,1,3.144606,nyc-taxi-green-dec-2016,10G,2,9.619332805415615
nyc-taxi-green-dec-2016_d10_l422_n843_20240921072444,2,3.144606,nyc-taxi-green-dec-2016,10G,2,8.429851631633937
nyc-taxi-green-dec-2016_d10_l422_n843_20240921072444,1,3.593551,nyc-taxi-green-dec-2016,10G,2,9.497016279632225
nyc-taxi-green-dec-2016_d10_l422_n843_20240921072444,2,3.593551,nyc-taxi-green-dec-2016,10G,2,8.435429446585477
nyc-taxi-green-dec-2016_d10_l422_n843_20240921072444,1,4.042496,nyc-taxi-green-dec-2016,10G,2,9.8234213239979
nyc-taxi-green-dec-2016_d10_l422_n843_20240921072444,2,4.042496,nyc-taxi-green-dec-2016,10G,2,8.40800607278943
